timepoint,sub-0006,sub-0189,sub-0924
187,136329.89,329.38373,258.06522
188,135889.52,329.46512,255.82065
189,136121.19,331.1744,255.61957
190,136606.42,330.25583,255.61414
191,136208.78,329.44186,256.72827
192,136289.05,329.41278,255.30435
193,136184.67,327.5407,255.71196
194,136078.16,329.36047,256.77716
195,136051.14,329.44766,255.91304
196,135977.95,330.4593,255.30978
197,136041.2,330.76746,256.20108
198,136646.61,331.03488,256.86414
199,136897.94,329.06396,257.34784
200,137073.62,328.2907,255.55978
201,136893.05,331.01746,255.41847
202,136819.64,329.65698,258.04892
203,136518.73,331.1221,257.32608
204,136846.88,329.65115,255.55435
205,137214.8,329.43604,256.92392
206,137257.5,328.13953,257.52173
207,136923.06,329.9535,256.67392
208,136709.6,329.3314,256.76086
209,136579.61,330.41278,255.96196
210,136461.5,331.36047,255.22282
211,136006.02,329.47675,256.60327
212,136279.56,329.6686,256.53806
213,135711.12,330.25583,255.54892
214,136254.6,329.34302,255.41304
215,137136.48,328.02325,255.84782
216,136732.56,327.80234,256.7663
217,136769.9,328.6686,255.42935
218,136653.66,329.44766,255.43478
219,136869.94,329.31396,254.23369
220,136405.64,329.3256,255.59239
221,136294.2,329.77908,255.79892
222,136566.31,329.5407,255.38586
223,136472.77,328.27325,255.51086
224,136601.52,328.77908,255.86414
225,136405.5,331.3256,255.73369
226,136320.83,330.40698,255.15218
227,136184.72,331.18604,255.19565
228,136136.25,331.19186,258.27173
229,137096.22,331.02325,259.44022
230,136944.58,329.7093,255.96739
231,136427.77,330.26746,255.35326
232,136117.97,330.22092,254.65761
233,135494.98,330.69766,255.63586
234,135276.36,330.09302,255.89674
235,135750.83,330.47675,256.40762
236,135504.94,330.66278,255.65761
237,135713.12,329.36047,254.51631
238,136561.28,330.1279,255.24457
239,136858.4,330.11047,255.96739
240,136906.17,329.3256,257.04892
241,137061.38,328.59302,256.3587
242,136807.17,328.52325,257.61414
243,136870.53,329.61047,257.4185
244,136520.62,329.60464,255.98369
245,136567.42,329.9186,254.32608
246,136098.17,330.13953,255.64674
247,136068.81,329.80234,256.66306
248,136010.73,329.91278,254.18478
249,136194.31,328.5,254.78261
250,136495.8,328.3721,255.48914
251,136527.88,330.63373,255.89131
252,136063.98,331.61047,255.52718
253,135320.98,330.9244,256.19022
254,138034.98,329.97092,255.90761
255,137498.17,328.84885,256.34238
256,137491.11,328.4186,257.09238
257,137453.42,328.63373,257.34784
258,137093.95,329.08722,257.48914
259,136525.8,329.18604,255.80978
260,137209.44,329.9535,256.2935
261,136770.58,329.4244,256.55978
262,137028.25,328.47092,255.69565
263,136507.7,329.44766,256.10327
264,136519.08,330.43024,256.27173
265,136412.69,329.81976,255.64131
266,136149.34,331.15698,256.69565
267,136452.33,331.01746,255.28261
268,135973.06,329.36047,254.08153
269,136593.69,329.22675,255.39131
270,136392.31,329.01746,255.30435
271,136657.12,329.69766,256.0815
272,136490.39,331.65115,255.70653
273,136234.06,331.8721,255.39674
274,135791.39,329.27908,257.32608
275,136362.03,329.68604,257.36414
276,136417.8,330.31396,257.78262
277,136370.97,330.99417,256.59238
278,136556.61,330.7965,255.57065
279,136641.1,329.9535,255.125
280,136804.61,329.7907,256.61957
281,137032.28,328.75583,255.45653
282,137137.1,331.44766,257.375
283,137730.06,329.89536,258.28806
284,138004.47,329.38373,256.89673
285,137574.47,330.03488,255.34782
286,136956.5,331.8314,255.08153
287,136087.83,330.98254,255.90761
288,135802.23,330.61047,256.07608
289,135990.84,328.3721,256.59238
