timepoint,sub-0006,sub-0189,sub-0924
0,135152.35853987723,324.7480226217931,253.18015606840024
1,134480.00794687975,325.15256251210246,255.68730467946932
2,135375.22559790322,326.47149197299314,257.41244215969573
3,135470.2823581956,322.4333415590687,255.85573395714627
4,134024.48240567307,324.7631497354903,259.4287929652613
5,134348.91024656885,325.1765124213724,261.994593061496
6,135063.92020158365,325.2959939896871,255.6467705611414
7,134841.8787038282,324.6280854186787,256.32507319182963
8,134991.59942124787,323.24327821752144,258.47089673661986
9,134573.4780362132,325.3279954837141,261.22223229699927
10,135439.69898743142,326.7273502141642,255.5552513749202
11,135388.8959677145,323.46613859508386,258.49807224461387
12,135033.0153487806,325.8638280136982,261.64259770162624
13,135563.620603484,324.6714747768771,254.69648170364147
14,135233.75467112602,324.93867565417116,255.43786158630834
15,134570.3537685584,323.9471014892961,257.1527867870783
16,135184.37539204126,324.6655438276441,256.9588231742892
17,134520.5586995855,326.30004459469893,259.6252025755073
18,135439.22515065363,325.5826552419877,258.48331943964166
19,134975.03704450687,326.73231160540996,254.45007588071573
20,134907.56881822736,326.1774118889777,259.0308208058016
21,134659.53522779804,325.4390866789296,256.8449222252887
22,135611.270669337,326.7439345261678,260.5488944338825
23,134922.7352589656,325.4389931587383,256.74482492712616
24,134785.83608891844,325.8279881767971,256.72676943379554
25,134823.9332247559,324.7034290464653,259.0822632216091
26,135266.15459277667,325.06654581585923,259.52585296467385
27,135182.72203218204,324.30257617669974,258.8961987278724
28,135206.366305798,325.98958393459486,254.6288053652304
29,135215.41050150394,323.82169637688514,259.0760688798565
30,136070.82380043523,325.78235034241766,255.9313838966512
31,134796.7924918077,324.80934894249486,258.4705522231765
32,134743.87863546424,326.17124709346734,255.1525311292019
33,134593.11363587607,325.75086898873127,258.89264429508614
34,135307.98971128775,326.8206461576468,256.38680219138524
35,135564.48614636043,325.73077469113866,255.43473069947896
36,134943.02627117257,323.42795974434677,259.4276402729648
37,134579.92176151872,324.9330468271018,258.4832890433535
38,134587.75939215437,323.82799280740517,256.7720463972142
39,135325.29639391234,324.48172015763373,260.9023576980421
40,135371.6270856017,326.5112284332767,257.1186951568605
41,135271.57713415258,325.6375338108977,258.06421534794185
42,134667.24514635565,324.30106957142124,258.5378268953572
43,135116.08066153337,323.9862826335596,256.76066813174276
44,135058.34290457037,325.0327820928763,258.94227258679985
